@cmd_time_indirect_call_register_in_if.end27|1|1/1/1/1
@cmd_time_indirect_call_register_in_if.then|1|1/1/1/1
@cmd_time_indirect_call_register_in_if.then15|1|1/1/1/1
@cmd_truncate_indirect_call_register_in_if.else52|1|1/1/1/1
@cmd_truncate_indirect_call_register_in_if.then|1|1/1/1/1
@cmd_truncate_indirect_call_register_in_if.then16|1|1/1/1/1
@cmd_truncate_indirect_call_register_in_if.then32|1|1/1/1/1
@cmd_truncate_indirect_call_register_in_if.then43|1|1/1/1/1
@cmd_truncate_indirect_call_register_in_if.then60|1|1/1/1/1
@cmd_truncate_indirect_call_register_in_if.then68|1|1/1/1/1
@cmd_truncate_indirect_call_register_in_if.then7|1|1/1/1/1
@cmd_umount_indirect_call_register_in_if.then|1|1/1/1/1
@cmd_umount_indirect_call_register_in_if.then13|1|1/1/1/1
@cmd_umount_indirect_call_register_in_sw.default|1|1/1/1/1
@cmd_unalias_indirect_call_register_in_if.else|1|1/1/1/1
@cmd_uname_indirect_call_register_in_for.end|1|1/1/1/1
@cmd_uname_indirect_call_register_in_if.end48|1|1/1/1/1
@cmd_uname_indirect_call_register_in_if.then22|1|1/1/1/1
@cmd_uname_indirect_call_register_in_if.then47|1|1/1/1/1
@cmd_uname_indirect_call_register_in_sw.default|1|1/1/1/1
@cmd_uname_indirect_call_register_in_sw.default41|1|1/1/1/1
@cmd_unrecognized_indirect_call_register_in_entry|1|1/1/1/1
@cmd_unset_indirect_call_register_in_if.then|1|1/1/1/1
@cmd_uptime_indirect_call_register_in_if.else70|1|1/1/1/1
@cmd_uptime_indirect_call_register_in_if.end|1|1/1/1/1
@cmd_uptime_indirect_call_register_in_if.end42|1|1/1/1/1
@cmd_uptime_indirect_call_register_in_if.end65|1|1/1/1/1
@cmd_uptime_indirect_call_register_in_if.end99|1|1/1/1/1
@cmd_uptime_indirect_call_register_in_if.then|1|1/1/1/1
@cmd_uptime_indirect_call_register_in_if.then10|1|1/1/1/1
@cmd_uptime_indirect_call_register_in_if.then25|1|1/1/1/1
@cmd_uptime_indirect_call_register_in_if.then52|1|1/1/1/1
@cmd_uptime_indirect_call_register_in_if.then60|1|1/1/1/1
@cmd_uptime_indirect_call_register_in_if.then75|1|1/1/1/1
@cmd_usleep_indirect_call_register_in_if.then|1|1/1/1/1
@cmd_wait_indirect_call_register_in_if.then10|1|1/1/1/1
@cmd_wait_indirect_call_register_in_if.then18|1|1/1/1/1
@cmd_wait_indirect_call_register_in_if.then55|1|1/1/1/1
@cmd_watch_indirect_call_register_in_if.else|1|1/1/1/1
@cmd_watch_indirect_call_register_in_if.then25|1|1/1/1/1
@cmd_watch_indirect_call_register_in_sw.default|1|1/1/1/1
@cp_handler_indirect_call_register_in_if.else40|1|1/1/1/1
@cp_handler_indirect_call_register_in_if.else56|1|1/1/1/1
@cp_handler_indirect_call_register_in_if.then|1|1/1/1/1
@cp_handler_indirect_call_register_in_if.then10|1|1/1/1/1
@cp_handler_indirect_call_register_in_if.then23|1|1/1/1/1
@cp_handler_indirect_call_register_in_if.then37|1|1/1/1/1
@cp_handler_indirect_call_register_in_if.then53|1|1/1/1/1
@cp_recursive_indirect_call_register_in_if.then|1|1/1/1/1
@cp_recursive_indirect_call_register_in_if.then23|1|1/1/1/1
@cp_recursive_indirect_call_register_in_if.then38|1|1/1/1/1
@dir_close_indirect_call_register_in_if.then4|1|1/1/1/1
@dir_read_indirect_call_register_in_if.then4|1|1/1/1/1
@do_glob_indirect_call_register_in_if.then173|1|1/1/1/1
@do_glob_indirect_call_register_in_land.lhs.true123|1|1/1/1/1
@do_glob_indirect_call_register_in_land.lhs.true251|1|1/1/1/1
@early_vsyslog_indirect_call_register_in_if.then|1|1/1/1/1
@env_foreach_indirect_call_register_in_for.body|1|1/1/1/1
@exec_ctors_indirect_call_register_in_for.body|1|1/1/1/1
@exec_dtors_indirect_call_register_in_for.body|1|1/1/1/1
@explicit_bzero_indirect_call_register_in_entry|1|1/1/1/1
@expression_indirect_call_register_in_errout_syntax|1|1/1/1/1
@fclose_indirect_call_register_in_if.then73|1|1/1/1/1
@fdinfo_callback_indirect_call_register_in_if.end17|1|1/1/1/1
@fdinfo_callback_indirect_call_register_in_if.then14|1|1/1/1/1
@fdinfo_callback_indirect_call_register_in_if.then24|1|1/1/1/1
@file_close_indirect_call_register_in_if.then8|1|1/1/1/1
@file_dup2_indirect_call_register_in_if.then20|1|1/1/1/1
@file_dup2_indirect_call_register_in_if.then32|1|1/1/1/1
@file_dup2_indirect_call_register_in_if.then52|1|1/1/1/1
@file_fchstat_indirect_call_register_in_if.then72|1|1/1/1/1
@file_fstat_indirect_call_register_in_if.then10|1|1/1/1/1
@file_fsync_indirect_call_register_in_if.then19|1|1/1/1/1
@file_fsync_indirect_call_register_in_if.then8|1|1/1/1/1
@file_mmap__indirect_call_register_in_if.then66|1|1/1/1/1
@file_poll_indirect_call_register_in_if.then30|1|1/1/1/1
@file_poll_indirect_call_register_in_if.then52|1|1/1/1/1
@file_readv_compat_indirect_call_register_in_if.end9|1|1/1/1/1
@file_readv_indirect_call_register_in_if.then23|1|1/1/1/1
@file_seek_indirect_call_register_in_if.then|1|1/1/1/1
@file_syncfs_indirect_call_register_in_if.then7|1|1/1/1/1
@file_truncate_indirect_call_register_in_if.end26|1|1/1/1/1
@file_vioctl_indirect_call_register_in_if.then60|1|1/1/1/1
@file_vioctl_indirect_call_register_in_if.then7|1|1/1/1/1
@file_vioctl_indirect_call_register_in_if.then84|1|1/1/1/1
@file_vopen_indirect_call_register_in_if.then42|1|1/1/1/1
@file_vopen_indirect_call_register_in_if.then65|1|1/1/1/1
@file_writev_compat_indirect_call_register_in_if.end13|1|1/1/1/1
@file_writev_indirect_call_register_in_if.then21|1|1/1/1/1
@foreach_inodelevel_indirect_call_register_in_for.body|1|1/1/1/1
@fseeko_indirect_call_register_in_if.then7|1|1/1/1/1
@fstatfs_indirect_call_register_in_if.then10|1|1/1/1/1
@ftello_indirect_call_register_in_if.then1|1|1/1/1/1
@group_foreachchild_indirect_call_register_in_for.body|1|1/1/1/1
@hdestroy_r_indirect_call_register_in_do.end|1|1/1/1/1
@help_builtins_indirect_call_register_in_for.end46|1|1/1/1/1
@help_builtins_indirect_call_register_in_if.end12|1|1/1/1/1
@help_cmd_indirect_call_register_in_for.end|1|1/1/1/1
@help_cmd_indirect_call_register_in_if.then|1|1/1/1/1
